COMPETITION_WYID,MATCH_WYID,EVENT_WYID,PRIMARYTYPE,AERIALDUELOPPONENT_WYID,AERIALDUELFIRSTTOUCH,AERIALDUELHEIGHT,RELATEDDUELID
335,5452150,1631088113,duel,599991,true,178,1631088200
335,5452150,1631088200,duel,26652,false,180,1631088113
335,5452150,1631088318,duel,628964,true,188,1631088145
335,5452150,1631088145,duel,56441,false,181,1631088318
335,5452150,1631088168,duel,51144,true,181,1631088360
335,5452150,1631088360,duel,628964,false,183,1631088168
335,5452150,1631088495,duel,412012,true,183,1631088218
335,5452150,1631088218,duel,51144,false,186,1631088495
335,5452150,1631088237,duel,51144,true,186,1631088536
335,5452150,1631088536,duel,372289,false,183,1631088237
335,5452150,1631088794,duel,628964,true,193,1631088427
335,5452150,1631088427,duel,579409,false,181,1631088794
335,5452150,1631088796,duel,0,true,193,1631092210
335,5452150,1631092210,duel,579409,false,,1631088796
335,5452150,1631088797,duel,69374,true,188,1631088428
335,5452150,1631088428,duel,56441,false,180,1631088797
335,5452150,1631088659,duel,56625,false,188,1631089073
335,5452150,1631089073,duel,54485,true,180,1631088659
335,5452150,1631089189,duel,562633,false,189,1631088768
335,5452150,1631088768,duel,262121,true,189,1631089189
335,5452150,1631088824,duel,0,true,186,1631092216
335,5452150,1631092216,duel,372289,false,,1631088824
335,5452150,1631088856,duel,498845,true,186,1631089261
335,5452150,1631089261,duel,412012,false,180,1631088856
335,5452150,1631089489,duel,412012,false,188,1631088941
335,5452150,1631088941,duel,56441,false,186,1631089489
335,5452150,1631089490,duel,69374,false,188,1631088940
335,5452150,1631088940,duel,56441,false,180,1631089490
335,5452150,1631088947,duel,56441,true,178,1631089500
335,5452150,1631089500,duel,26652,false,188,1631088947
335,5452150,1631089546,duel,514807,false,182,1631088974
335,5452150,1631088974,duel,335381,true,175,1631089546
335,5452150,1631089561,duel,628964,true,178,1631088980
335,5452150,1631088980,duel,579397,false,181,1631089561
335,5452150,1631089581,duel,372289,false,183,1631088982
335,5452150,1631088982,duel,51144,true,186,1631089581
335,5452150,1631088990,duel,498845,true,186,1631089588
335,5452150,1631089588,duel,412012,false,180,1631088990
335,5452150,1631089590,duel,69374,true,183,1631089015
335,5452150,1631089015,duel,51144,false,180,1631089590
335,5452150,1631089676,duel,412012,true,183,1631089094
335,5452150,1631089094,duel,51144,false,186,1631089676
335,5452150,1631089101,duel,579397,true,181,1631089686
335,5452150,1631089686,duel,628964,false,178,1631089101
335,5452150,1631089730,duel,0,false,183,1631092225
335,5452150,1631092225,duel,51144,true,,1631089730
335,5452150,1631089733,duel,372289,false,180,1631089139
335,5452150,1631089139,duel,56625,true,186,1631089733
335,5452150,1631089203,duel,56145,false,189,1631089778
335,5452150,1631089778,duel,562633,true,177,1631089203
335,5452150,1631089221,duel,579397,true,181,1631089811
335,5452150,1631089811,duel,628964,false,178,1631089221
335,5452150,1631089240,duel,56625,false,189,1631089837
335,5452150,1631089837,duel,562633,true,180,1631089240
335,5452150,1631089845,duel,26652,false,180,1631089246
335,5452150,1631089246,duel,56625,true,178,1631089845
335,5452150,1631089925,duel,412012,false,180,1631089343
335,5452150,1631089343,duel,599991,true,186,1631089925
335,5452150,1631089963,duel,372289,false,182,1631089406
335,5452150,1631089406,duel,335381,false,186,1631089963
335,5452150,1631089410,duel,51144,true,186,1631089965
335,5452150,1631089965,duel,372289,false,183,1631089410
335,5452150,1631089969,duel,372289,true,189,1631089440
335,5452150,1631089440,duel,262121,false,186,1631089969
335,5452150,1631089972,duel,412012,false,188,1631089451
335,5452150,1631089451,duel,56441,false,186,1631089972
335,5452150,1631089973,duel,0,false,188,1631092235
335,5452150,1631092235,duel,56441,true,,1631089973
335,5452150,1631089517,duel,599991,true,186,1631090019
335,5452150,1631090019,duel,372289,false,180,1631089517
335,5452150,1631089591,duel,56145,false,178,1631090063
335,5452150,1631090063,duel,496678,true,177,1631089591
335,5452150,1631090132,duel,449089,false,175,1631089655
335,5452150,1631089655,duel,338639,true,188,1631090132
335,5452150,1631089658,duel,56441,false,186,1631090147
335,5452150,1631090147,duel,412012,true,188,1631089658
335,5452150,1631090188,duel,628964,true,179,1631089712
335,5452150,1631089712,duel,56143,false,181,1631090188
335,5452150,1631089746,duel,335381,false,186,1631090224
335,5452150,1631090224,duel,372289,true,182,1631089746
335,5452150,1631090236,duel,54485,false,182,1631089760
335,5452150,1631089760,duel,335381,false,188,1631090236
335,5452150,1631089762,duel,335381,true,186,1631090237
335,5452150,1631090237,duel,412012,false,182,1631089762
335,5452150,1631090245,duel,449089,true,182,1631089772
335,5452150,1631089772,duel,335381,false,188,1631090245
335,5452150,1631090246,duel,372289,true,182,1631089773
335,5452150,1631089773,duel,335381,false,186,1631090246
335,5452150,1631090248,duel,169212,true,178,1631089775
335,5452150,1631089775,duel,579397,false,173,1631090248
335,5452150,1631090258,duel,449089,false,189,1631089801
335,5452150,1631089801,duel,262121,true,188,1631090258
335,5452150,1631090265,duel,363625,false,173,1631089809
335,5452150,1631089809,duel,679438,true,178,1631090265
335,5452150,1631090269,duel,54485,false,178,1631089826
335,5452150,1631089826,duel,579397,true,188,1631090269
335,5452150,1631090276,duel,372289,false,175,1631089831
335,5452150,1631089831,duel,338639,true,186,1631090276
335,5452150,1631089847,duel,56145,true,188,1631090286
335,5452150,1631090286,duel,54485,false,177,1631089847
335,5465978,1793867322,duel,510447,false,183,1793867221
335,5465978,1793867221,duel,631559,false,181,1793867322
335,5465978,1793867432,duel,0,true,186,1793869257
335,5465978,1793869257,duel,578585,false,,1793867432
335,5465978,1793867572,duel,510447,false,182,1793867340
335,5465978,1793867340,duel,56334,true,181,1793867572
335,5465978,1793867378,duel,538640,false,175,1793867585
335,5465978,1793867585,duel,514807,true,195,1793867378
335,5465978,1793867477,duel,631559,false,184,1793867676
335,5465978,1793867676,duel,268785,true,183,1793867477
335,5465978,1793867680,duel,281248,false,183,1793867481
335,5465978,1793867481,duel,497351,true,190,1793867680
335,5465978,1793867497,duel,0,true,195,1793869260
335,5465978,1793869260,duel,519629,false,,1793867497
335,5465978,1793867506,duel,651679,true,189,1793867713
335,5465978,1793867713,duel,562633,false,190,1793867506
335,5465978,1793867721,duel,54485,false,187,1793867507
335,5465978,1793867507,duel,448997,true,188,1793867721
335,5465978,1793867640,duel,651679,false,190,1793867921
335,5465978,1793867921,duel,281248,true,190,1793867640
335,5465978,1793867698,duel,651679,true,195,1793867968
335,5465978,1793867968,duel,519629,false,190,1793867698
335,5465978,1793867813,duel,0,true,186,1793869271
335,5465978,1793869271,duel,412012,false,,1793867813
335,5465978,1793868081,duel,0,true,189,1793869273
335,5465978,1793869273,duel,436881,false,,1793868081
335,5465978,1793867918,duel,0,true,178,1793869276
335,5465978,1793869276,duel,26652,false,,1793867918
335,5465978,1793868102,duel,268785,false,182,1793867943
335,5465978,1793867943,duel,449421,false,184,1793868102
335,5465978,1793868116,duel,0,true,190,1793869282
335,5465978,1793869282,duel,651679,false,,1793868116
335,5465978,1793868122,duel,54485,false,183,1793867990
335,5465978,1793867990,duel,631559,false,188,1793868122
335,5465978,1793868409,duel,651679,false,178,1793868152
335,5465978,1793868152,duel,26652,true,190,1793868409
335,5465978,1793868165,duel,510447,false,173,1793868437
335,5465978,1793868437,duel,638476,true,181,1793868165
335,5465978,1793868443,duel,631559,true,190,1793868174
335,5465978,1793868174,duel,281248,false,183,1793868443
335,5465978,1793868481,duel,651679,false,186,1793868199
335,5465978,1793868199,duel,412012,true,190,1793868481
335,5465978,1793868204,duel,412012,false,189,1793868487
335,5465978,1793868487,duel,436881,false,186,1793868204
335,5465978,1793868612,duel,651679,false,195,1793868253
335,5465978,1793868253,duel,519629,true,190,1793868612
335,5465978,1793868615,duel,449421,true,173,1793868254
335,5465978,1793868254,duel,56079,false,182,1793868615
335,5465978,1793868619,duel,651679,false,195,1793868255
335,5465978,1793868255,duel,519629,false,190,1793868619
335,5465978,1793868673,duel,651679,true,195,1793868281
335,5465978,1793868281,duel,519629,false,190,1793868673
335,5465978,1793868325,duel,54485,false,185,1793868761
335,5465978,1793868761,duel,334056,true,188,1793868325
335,5465978,1793868326,duel,0,false,178,1793869296
335,5465978,1793869296,duel,519618,true,,1793868326
335,5465978,1793868981,duel,449421,false,173,1793868641
335,5465978,1793868641,duel,56079,true,182,1793868981
335,5465978,1793868649,duel,0,false,202,1793869311
335,5465978,1793869311,duel,523395,true,,1793868649
335,5465978,1793868993,duel,523395,true,195,1793868665
335,5465978,1793868665,duel,519629,false,202,1793868993
335,5465978,1793868713,duel,26652,true,183,1793869003
335,5465978,1793869003,duel,497351,false,178,1793868713
335,5465978,1793868716,duel,0,true,183,1793869315
335,5465978,1793869315,duel,622417,false,,1793868716
335,5465978,1793869010,duel,523395,true,190,1793868720
335,5465978,1793868720,duel,281248,false,202,1793869010
335,5465978,1793869011,duel,334056,true,190,1793868722
335,5465978,1793868722,duel,281248,false,185,1793869011
335,5465978,1793869034,duel,603456,false,190,1793868788
335,5465978,1793868788,duel,281248,true,192,1793869034
335,5465978,1793869065,duel,523395,true,195,1793868880
335,5465978,1793868880,duel,519629,false,202,1793869065
335,5465978,1793869073,duel,603456,true,186,1793868893
335,5465978,1793868893,duel,412012,false,192,1793869073
335,5227280,1104424985,duel,676912,true,195,1104425165
335,5227280,1104425165,duel,56073,false,189,1104424985
335,5227280,1104424988,duel,510447,false,192,1104425180
335,5227280,1104425180,duel,545144,true,181,1104424988
335,5227280,1104425016,duel,244135,false,188,1104425237
335,5227280,1104425237,duel,442106,true,190,1104425016
335,5227280,1104425088,duel,449089,false,186,1104425416
335,5227280,1104425416,duel,444298,false,188,1104425088
335,5227280,1104425089,duel,544937,true,193,1104425421
335,5227280,1104425421,duel,365445,false,175,1104425089
335,5227280,1104425163,duel,449089,true,186,1104425505
335,5227280,1104425505,duel,444298,false,188,1104425163
335,5227280,1104425277,duel,244135,true,188,1104425666
335,5227280,1104425666,duel,442106,false,190,1104425277
335,5227280,1104425679,duel,442106,false,189,1104425290
335,5227280,1104425290,duel,676912,true,188,1104425679
335,5227280,1104425360,duel,510447,false,195,1104425768
335,5227280,1104425768,duel,56073,true,181,1104425360
335,5227280,1104425812,duel,0,true,190,1104429084
335,5227280,1104429084,duel,207480,false,,1104425812
335,5227280,1104425452,duel,207480,false,193,1104425924
335,5227280,1104425924,duel,365445,true,190,1104425452
335,5227280,1104425499,duel,363625,true,189,1104426003
335,5227280,1104426003,duel,232015,false,178,1104425499
335,5227280,1104425533,duel,244135,true,188,1104426073
335,5227280,1104426073,duel,442106,false,190,1104425533
335,5227280,1104425560,duel,244135,false,188,1104426104
335,5227280,1104426104,duel,442106,true,190,1104425560
335,5227280,1104425572,duel,544937,true,195,1104426113
335,5227280,1104426113,duel,56073,false,175,1104425572
335,5227280,1104426114,duel,56073,false,190,1104425573
335,5227280,1104425573,duel,207480,true,195,1104426114
335,5227280,1104425606,duel,510447,true,192,1104426144
335,5227280,1104426144,duel,545144,false,181,1104425606
335,5227280,1104425617,duel,207480,false,189,1104426156
335,5227280,1104426156,duel,232015,false,190,1104425617
335,5227280,1104425771,duel,244135,false,188,1104426418
335,5227280,1104426418,duel,442106,true,190,1104425771
335,5227280,1104426456,duel,545144,false,188,1104425804
335,5227280,1104425804,duel,449089,false,192,1104426456
335,5227280,1104425979,duel,207480,false,188,1104426673
335,5227280,1104426673,duel,442106,true,190,1104425979
335,5227280,1104426002,duel,244135,true,192,1104426703
335,5227280,1104426703,duel,545144,false,190,1104426002
335,5227280,1104426051,duel,676912,false,171,1104426726
335,5227280,1104426726,duel,450212,true,189,1104426051
335,5227280,1104426068,duel,510447,true,195,1104426735
335,5227280,1104426735,duel,56073,false,181,1104426068
335,5227280,1104426127,duel,207480,true,193,1104426783
335,5227280,1104426783,duel,365445,false,190,1104426127
335,5227280,1104426128,duel,244135,false,188,1104426784
