COMPETITION_WYID,MATCH_WYID,EVENT_WYID,PRIMARYTYPE,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID
335,5465998,1828347774,duel,400354,offensive_duel,false,false,,,false,,1828347841
335,5465998,1828347841,duel,412012,defensive_duel,,,true,true,false,,1828347774
335,5465998,1828347849,duel,281248,offensive_duel,false,false,,,false,,1828347775
335,5465998,1828347775,duel,454213,defensive_duel,,,true,true,false,,1828347849
335,5465998,1828347783,duel,516196,defensive_duel,,,false,false,false,,1828347858
335,5465998,1828347858,duel,562633,offensive_duel,true,true,,,false,,1828347783
335,5465998,1828347784,duel,516196,defensive_duel,,,true,false,false,,1828347861
335,5465998,1828347861,duel,56079,offensive_duel,true,false,,,false,,1828347784
335,5465998,1828347785,duel,0,defensive_duel,,,true,false,false,,1828349814
335,5465998,1828349814,duel,562633,offensive_duel,true,false,,,false,,1828347785
335,5465998,1828347798,duel,443851,defensive_duel,,,true,false,false,left,1828347904
335,5465998,1828347904,duel,56079,dribble,true,false,,,false,right,1828347798
335,5465998,1828347910,duel,0,offensive_duel,false,false,,,false,,1828349816
335,5465998,1828349816,duel,454213,defensive_duel,,,true,false,false,,1828347910
335,5465998,1828347911,duel,514807,offensive_duel,false,false,,,false,,1828347806
335,5465998,1828347806,duel,454213,defensive_duel,,,true,true,false,,1828347911
335,5465998,1828347912,duel,0,defensive_duel,,,true,true,false,,1828349817
335,5465998,1828349817,duel,454213,offensive_duel,false,false,,,false,,1828347912
335,5465998,1828347810,duel,400354,defensive_duel,,,true,false,false,,1828347923
335,5465998,1828347923,duel,268785,offensive_duel,true,false,,,false,,1828347810
335,5465998,1828347929,duel,514807,defensive_duel,,,false,false,false,right,1828347824
335,5465998,1828347824,duel,347591,dribble,true,true,,,false,left,1828347929
335,5465998,1828347860,duel,190470,offensive_duel,true,false,,,false,,1828348221
335,5465998,1828348221,duel,514807,defensive_duel,,,true,false,false,,1828347860
335,5465998,1828347882,duel,633197,offensive_duel,true,false,,,false,,1828348240
335,5465998,1828348240,duel,268785,defensive_duel,,,true,false,false,,1828347882
335,5465998,1828347884,duel,633197,dribble,true,false,,,true,left,1828348241
335,5465998,1828348241,duel,334043,defensive_duel,,,true,false,true,right,1828347884
335,5465998,1828347885,duel,400354,offensive_duel,true,false,,,false,,1828348242
335,5465998,1828348242,duel,334043,defensive_duel,,,true,false,false,,1828347885
335,5465998,1828347939,duel,516196,defensive_duel,,,false,false,false,right,1828348296
335,5465998,1828348296,duel,562633,dribble,true,true,,,false,left,1828347939
335,5465998,1828347963,duel,516196,dribble,true,true,,,true,left,1828348341
335,5465998,1828348341,duel,56079,defensive_duel,,,false,false,true,right,1828347963
335,5465998,1828347968,duel,516196,dribble,true,true,,,false,right,1828348343
335,5465998,1828348343,duel,514807,defensive_duel,,,false,false,false,left,1828347968
