COMPETITION_WYID,MATCH_WYID,EVENT_WYID,PRIMARYTYPE,SHOTBODYPART,SHOTISGOAL,SHOTONTARGET,SHOTGOALZONE,SHOTXG,SHOTPOSTSHOTXG,SHOTGOALKEEPERACTION_WYID,SHOTGOALKEEPER_WYID
335,5345453,1438371472,shot,left_foot,false,false,bc,0.001922,,,
335,5345453,1438371484,shot,head_or_other,false,true,gc,0.04927,0.02884,1438371579,406041
335,5345453,1438371517,shot,left_foot,false,false,bc,0.01092,,,
335,5345453,1438371571,shot,head_or_other,true,true,gl,0.162,0.7201,1438371662,406041
335,5345453,1438371659,shot,right_foot,false,false,bc,0.0007138,,,
335,5345453,1438371803,shot,head_or_other,false,false,olb,0.008522,,,
335,5345453,1438372002,shot,left_foot,false,false,bc,0.01377,,,
335,5345453,1438372158,shot,left_foot,false,false,otr,0.01012,,,
335,5345453,1438372089,shot,left_foot,false,true,gc,0.1188,0.08589,1438372276,406041
335,5345453,1438372105,shot,head_or_other,false,true,gb,0.03516,0.02406,1438372279,406041
335,5345453,1438372307,shot,right_foot,false,false,olb,0.09171,,,
335,5345453,1438372557,shot,right_foot,false,false,or,0.05557,,,
335,5345453,1438372657,shot,right_foot,false,false,bc,0.07066,,,
335,5345453,1438372476,shot,right_foot,false,true,gb,0.3446,0.3358,1438372716,406041
335,5345453,1438372482,shot,left_foot,false,true,gb,0.02982,0.007206,1438372721,406041
335,5345453,1438372517,shot,left_foot,false,true,gr,0.1137,0.3352,1438372750,406041
335,5345453,1438372793,shot,left_foot,false,false,bc,0.1085,,,
335,5345453,1438372798,shot,right_foot,false,false,bc,0.04285,,,
335,5345453,1438372586,shot,left_foot,false,false,otl,0.03225,,,
335,5345453,1438372931,shot,head_or_other,false,false,otl,0.3234,,,
335,5345453,1438372780,shot,right_foot,false,false,otr,0.03738,,,
335,5345453,1438373130,shot,left_foot,false,false,ol,0.04407,,,
335,5345453,1438373367,shot,right_foot,false,true,gb,0.09401,0.2523,1438373160,476345
335,5345453,1438373409,shot,left_foot,true,true,gc,0.3579,0.2267,1438373226,476345
335,5465944,1720412873,shot,left_foot,false,false,olb,0.1367,,,
335,5465944,1720412005,shot,left_foot,false,false,obr,0.01572,,,
335,5465944,1720412091,shot,right_foot,false,true,gc,0.1572,0.1077,1720412975,56223
335,5465944,1720413512,shot,left_foot,false,false,ot,0.06579,,,
335,5465944,1720413086,shot,right_foot,false,true,gbr,0.4002,0.6808,1720412166,56038
335,5465944,1720413502,shot,head_or_other,false,false,ol,0.09851,,,
335,5465944,1720411521,shot,left_foot,false,false,obr,0.004295,,,
335,5465944,1720411562,shot,left_foot,false,false,bc,0.03408,,,
335,5465944,1720412702,shot,right_foot,false,false,ptr,0.1136,,,
335,5465944,1720412713,shot,head_or_other,false,false,otl,0.4043,,,
335,5465944,1720411653,shot,left_foot,false,true,gl,0.1603,0.327,1720412806,56038
335,5465944,1720411785,shot,right_foot,false,false,olb,0.4124,,,
335,5465944,1720412205,shot,left_foot,true,true,glb,0.3743,0.7873,1720413217,56038
335,5465944,1720413415,shot,right_foot,false,false,otr,0.05107,,,
335,5466032,2109621927,shot,right_foot,false,true,glb,0.04907,0.2855,2109621851,447762
335,5466032,2109622035,shot,left_foot,false,false,otr,0.05978,,,
335,5466032,2109622137,shot,head_or_other,false,false,otl,0.1435,,,
335,5466032,2109623472,shot,head_or_other,false,false,or,0.08958,,,
335,5466032,2109622084,shot,head_or_other,false,true,gc,0.1377,0.1458,2109622372,269698
335,5466032,2109622093,shot,head_or_other,false,true,gc,0.1451,0.128,2109622374,269698
335,5466032,2109622641,shot,right_foot,false,true,gbr,0.2586,0.4609,2109622275,447762
335,5466032,2109622644,shot,left_foot,false,false,otl,0.5152,,,
