MATCH_WYID,MATCHLABEL,DATE,DATEUTC,MATCHSTATUS,COMPETITION_WYID,SEASON_WYID,ROUND_WYID,GAMEWEEK
5227272,"Brøndby - København, 2 - 1",2021-10-24 14:00:00.000,2021-10-24 12:00:00.000,Played,335,187483,4424291,13
5328135,"Brøndby - Silkeborg, 2 - 1",2022-05-22 17:00:00.000,2022-05-22 15:00:00.000,Played,335,187483,4426126,10
5227240,"Brøndby - Midtjylland, 2 - 0",2021-08-29 20:00:00.000,2021-08-29 18:00:00.000,Played,335,187483,4424291,7
5466040,"Viborg - Brøndby, 1 - 2",2024-03-10 18:00:00.000,2024-03-10 17:00:00.000,Played,335,188945,4429397,21
5227293,"Midtjylland - Brøndby, 1 - 2",2021-11-21 18:00:00.000,2021-11-21 17:00:00.000,Played,335,187483,4424291,16
5345469,"Brøndby - AaB, 3 - 2",2022-10-30 18:00:00.000,2022-10-30 17:00:00.000,Played,335,188039,4426706,15
5345475,"OB - Brøndby, 1 - 1",2022-11-06 18:00:00.000,2022-11-06 17:00:00.000,Played,335,188039,4426706,16
5227253,"Brøndby - AaB, 2 - 1",2021-09-26 18:00:00.000,2021-09-26 16:00:00.000,Played,335,187483,4424291,10
5345498,"Lyngby - Brøndby, 1 - 0",2023-03-05 16:00:00.000,2023-03-05 15:00:00.000,Played,335,188039,4426706,20
5227307,"Brøndby - SønderjyskE, 1 - 0",2022-02-28 19:00:00.000,2022-02-28 18:00:00.000,Played,335,187483,4424291,19
5345411,"AaB - Brøndby, 2 - 1",2022-08-21 18:00:00.000,2022-08-21 16:00:00.000,Played,335,188039,4426706,6
5466019,"Brøndby - Midtjylland, 1 - 0",2024-02-18 18:00:00.000,2024-02-18 17:00:00.000,Played,335,188945,4429397,18
5328106,"Brøndby - Randers, 0 - 1",2022-04-03 16:00:00.000,2022-04-03 14:00:00.000,Played,335,187483,4426126,1
5465959,"AGF - Brøndby, 0 - 3",2023-09-17 18:00:00.000,2023-09-17 16:00:00.000,Played,335,188945,4429397,8
5345483,"Brøndby - Horsens, 5 - 2",2023-02-19 18:00:00.000,2023-02-19 17:00:00.000,Played,335,188039,4426706,18
5227224,"Brøndby - Nordsjælland, 0 - 1",2021-08-13 21:00:00.000,2021-08-13 19:00:00.000,Played,335,187483,4424291,5
5575673,"Brøndby - AGF, 2 - 3",2024-05-26 17:00:00.000,2024-05-26 15:00:00.000,Played,335,188945,4431692,10
5575666,"Brøndby - Nordsjælland, 1 - 0",2024-05-15 20:00:00.000,2024-05-15 18:00:00.000,Played,335,188945,4431692,8
5227241,"Brøndby - Silkeborg, 1 - 1",2021-09-10 20:00:00.000,2021-09-10 18:00:00.000,Played,335,187483,4424291,8
5575650,"Brøndby - Silkeborg, 1 - 1",2024-04-08 19:00:00.000,2024-04-08 17:00:00.000,Played,335,188945,4431692,2
5227287,"Brøndby - OB, 2 - 1",2021-11-07 18:00:00.000,2021-11-07 17:00:00.000,Played,335,187483,4424291,15
5345405,"Brøndby - OB, 2 - 0",2022-08-14 18:00:00.000,2022-08-14 16:00:00.000,Played,335,188039,4426706,5
5328125,"Brøndby - København, 1 - 1",2022-05-08 16:00:00.000,2022-05-08 14:00:00.000,Played,335,187483,4426126,7
5452150,"København - Brøndby, 0 - 1",2023-04-30 16:00:00.000,2023-04-30 14:00:00.000,Played,335,188039,4428735,5
5227203,"AGF - Brøndby, 1 - 1",2021-07-18 19:00:00.000,2021-07-18 17:00:00.000,Played,335,187483,4424291,1
5345390,"Brøndby - Nordsjælland, 1 - 3",2022-07-24 16:00:00.000,2022-07-24 14:00:00.000,Played,335,188039,4426706,2
5227280,"Viborg - Brøndby, 0 - 1",2021-10-31 18:00:00.000,2021-10-31 17:00:00.000,Played,335,187483,4424291,14
5466009,"Lyngby - Brøndby, 3 - 3",2023-11-26 18:00:00.000,2023-11-26 17:00:00.000,Played,335,188945,4429397,16
5465952,"Vejle - Brøndby, 0 - 1",2023-08-28 19:00:00.000,2023-08-28 17:00:00.000,Played,335,188945,4429397,6
5465938,"Brøndby - Lyngby, 3 - 0",2023-08-13 16:00:00.000,2023-08-13 14:00:00.000,Played,335,188945,4429397,4
5227263,"Randers - Brøndby, 1 - 1",2021-10-03 18:00:00.000,2021-10-03 16:00:00.000,Played,335,187483,4424291,11
