COMPETITION_WYID,MATCH_WYID,EVENT_WYID,PRIMARYTYPE,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY
335,5345483,1548752285,touch,9.1,97,29
335,5345483,1548752267,touch,6.493,85,36
335,5345483,1548752345,acceleration,31.25,63,16
335,5345483,1548752367,touch,5.956,37,58
335,5345483,1548752329,touch,-9.054,43,77
335,5345483,1548752335,touch,17.27,51,79
335,5345483,1548752350,duel,1.331,93,92
335,5345483,1548752381,touch,-3.748,64,38
335,5345483,1548752397,duel,6.36,33,12
335,5345483,1548752405,duel,-3.981,35,9
335,5345483,1548752434,touch,10.76,53,77
335,5345483,1548752436,touch,17.95,56,74
335,5345483,1548752441,touch,4.395,51,35
335,5345483,1548752445,touch,16.13,72,16
335,5345483,1548752450,touch,14.58,75,30
335,5345483,1548752458,pass,2.081,65,65
335,5345483,1548752483,acceleration,23.23,91,25
335,5345483,1548752464,touch,12.34,16,46
335,5345483,1548752515,touch,16.81,37,32
335,5345483,1548752563,touch,-9.486,43,37
335,5345483,1548752566,touch,22.53,59,69
335,5345483,1548752508,touch,11.21,15,38
335,5345483,1548752534,touch,12.05,47,14
335,5345483,1548752540,duel,0.596,64,18
335,5345483,1548752625,touch,17.33,44,58
335,5345483,1548752636,touch,15.12,52,72
335,5345483,1548752657,touch,-5.742,88,83
335,5345483,1548752661,touch,5.825,90,71
335,5345483,1548752554,duel,2.1,16,15
335,5345483,1548754498,touch,10.34,73,79
335,5345483,1548752706,touch,9.538,52,78
335,5345483,1548752711,duel,-1.608,39,63
335,5345483,1548752736,touch,7.46,68,5
335,5345483,1548752742,duel,-6.802,69,2
335,5345483,1548752755,duel,4.999,81,33
335,5345483,1548752611,acceleration,14.2,48,94
335,5345483,1548752648,touch,8.828,55,29
335,5345483,1548752815,touch,23.92,52,33
335,5345483,1548752823,touch,-8.542,55,74
335,5345483,1548752830,touch,18.1,55,44
335,5345483,1548752848,touch,-5.175,47,56
335,5345483,1548752851,touch,13.3,69,79
335,5345483,1548752857,touch,-16.6,79,6
335,5345483,1548752692,touch,13.58,61,92
335,5345483,1548752718,touch,9.461,86,90
335,5345483,1548752722,touch,4.634,85,86
335,5345483,1548752726,touch,-10.2,70,89
335,5345483,1548752733,touch,-5.635,49,56
335,5345483,1548752896,touch,10.62,91,80
335,5345483,1548752910,touch,8.357,54,47
335,5345483,1548752916,duel,-1.276,77,20
335,5345483,1548752784,touch,11.65,29,85
335,5345483,1548752814,duel,7.045,63,28
335,5345483,1548752983,touch,20.6,64,62
335,5345483,1548752850,duel,-6.86,57,77
335,5345483,1548753044,touch,11.25,54,27
335,5345483,1548753048,touch,10.35,49,69
335,5345483,1548752903,duel,-5.525,19,27
335,5345483,1548753077,duel,-4.247,54,77
335,5345483,1548753083,touch,13.24,63,69
335,5345483,1548753134,touch,16.3,88,17
335,5345483,1548753034,touch,23.82,57,21
335,5345483,1548753230,touch,18.88,36,58
335,5345483,1548753233,touch,-9.79,32,45
335,5345483,1548753239,pass,-10.47,58,69
335,5345483,1548753250,touch,15.72,58,34
335,5345483,1548753257,touch,13.11,43,28
335,5345483,1548753270,duel,-1.36,57,7
335,5345483,1548753094,touch,9.873,57,14
335,5345483,1548753103,touch,5.588,54,71
335,5345483,1548753108,duel,-2.285,59,16
335,5345483,1548753112,touch,7.339,21,48
335,5345483,1548753293,touch,10.97,42,27
335,5345483,1548753122,touch,9.049,82,87
335,5345483,1548753135,duel,-14.54,48,69
335,5345483,1548753354,touch,6.847,64,29
335,5345483,1548753358,touch,9.247,74,13
335,5345483,1548753362,duel,-4.607,60,33
335,5345483,1548753364,touch,17.14,74,70
335,5345483,1548753381,throw_in,15.8,42,80
335,5345483,1548753187,touch,9.474,29,43
335,5345483,1548753194,touch,10.1,36,30
335,5345483,1548753417,touch,15.56,53,19
335,5345483,1548753429,touch,11.57,22,44
335,5345483,1548753433,duel,1.102,63,34
335,5345483,1548753457,pass,8.442,45,93
335,5345483,1548753506,touch,21.97,35,44
335,5345483,1548753514,touch,23.92,80,23
335,5345483,1548753531,touch,21.51,60,30
335,5345483,1548753539,duel,8.804,80,29
335,5345483,1548753330,duel,7.1,33,89
335,5345483,1548753359,duel,2.514,77,24
335,5345483,1548753592,touch,16.01,48,36
335,5345483,1548753594,touch,14.11,56,76
335,5345483,1548753597,touch,5.322,61,91
335,5345483,1548753603,duel,-3.537,69,17
335,5345483,1548753614,pass,-58.97,77,6
335,5345483,1548753624,touch,21.94,59,39
335,5345483,1548753633,touch,6.647,54,21
335,5345483,1548753661,touch,11.65,59,24
335,5345483,1548753671,touch,11.86,54,65
335,5345483,1548753681,touch,17.2,75,80
335,5345483,1548753703,duel,-3.296,75,25
335,5345483,1548753740,acceleration,25.21,65,52
335,5345483,1548753747,duel,4.661,89,57
335,5345483,1548753513,interception,5.406,52,24
335,5345483,1548753519,touch,22.95,63,71
335,5345483,1548753529,touch,7.083,54,14
335,5345483,1548753799,pass,10.24,50,69
335,5345483,1548753554,acceleration,21.59,60,5
335,5345483,1548753811,touch,14.95,37,33
335,5345483,1548753818,duel,0.148,36,67
335,5345483,1548753830,duel,21.79,61,78
335,5345483,1548753604,touch,19.02,74,22
335,5345483,1548753631,touch,15.38,77,8
335,5345483,1548753874,touch,-1.079,16,90
335,5345483,1548753699,touch,16.03,44,35
335,5345483,1548753712,duel,2.154,85,84
335,5345483,1548753948,pass,-73.41,92,92
335,5345483,1548753763,acceleration,15.91,70,83
335,5345483,1548754001,duel,-8.424,28,6
335,5345483,1548753831,duel,0.778,14,90
335,5345483,1548753838,touch,15.82,23,17
335,5345483,1548754045,acceleration,35.19,77,73
335,5345483,1548753866,touch,10.38,32,44
335,5345483,1548753885,touch,2.169,50,85
335,5345483,1548754088,interception,0.65,15,48
335,5345483,1548753904,duel,3.023,94,83
335,5345483,1548753910,touch,1.644,86,87
335,5345483,1548754257,duel,9.258,67,44
335,5345483,1548754264,interception,27.28,99,26
335,5345483,1548754501,interception,12.72,13,53
335,5345483,1548754007,acceleration,22.78,46,18
335,5345483,1548754024,touch,11.39,19,58
335,5345483,1548754061,duel,5.163,94,69
335,5345483,1548754333,duel,-10.03,37,79
335,5345483,1548754345,touch,12.9,96,68
335,5345483,1548754097,touch,12.47,42,78
335,5345483,1548754107,touch,3.764,52,93
335,5345483,1548754377,touch,12.82,15,48
335,5345483,1548754185,touch,9.334,53,75
335,5345483,1548754194,touch,10.64,53,73
335,5345483,1548754201,duel,5.461,74,80
335,5345483,1548754220,touch,-2.996,76,21
335,5345483,1548754232,touch,-7.84,74,58
335,5345483,1548754402,duel,13.28,59,25
335,5345483,1548754422,touch,5.191,54,46
335,5345483,1548754296,touch,-3.256,43,25
335,5345483,1548754460,duel,9.824,22,91
335,5345483,1548754330,touch,16.59,84,7
335,5345483,1548754468,touch,15.68,44,64
335,5345483,1548754359,touch,10.37,59,5
335,5452158,1658632826,duel,-4.375,35,10
335,5452158,1658632831,touch,25.34,62,94
335,5452158,1658634887,duel,-6.415,86,95
335,5452158,1658632845,duel,6.218,91,88
335,5452158,1658633103,acceleration,20.93,44,87
335,5452158,1658632851,touch,-2.412,31,2
335,5452158,1658632854,touch,7.365,21,70
335,5452158,1658632858,touch,3.841,71,66
335,5452158,1658633117,touch,13.47,61,25
335,5452158,1658633121,duel,-10.41,67,6
335,5452158,1658633154,touch,8.447,55,52
335,5452158,1658632885,touch,3.047,86,93
335,5452158,1658633189,touch,23.23,99,11
335,5452158,1658633212,touch,15.05,63,9
335,5452158,1658633219,touch,10.01,78,83
335,5452158,1658632919,acceleration,33.55,70,94
335,5452158,1658633247,touch,6.262,65,86
335,5452158,1658633278,touch,9.262,55,73
335,5452158,1658632950,touch,-8.832,69,18
335,5452158,1658632962,duel,0.061,34,81
335,5452158,1658632970,duel,29.32,67,85
335,5452158,1658633384,touch,12.31,65,39
335,5452158,1658633408,touch,7.381,21,63
335,5452158,1658633015,duel,-14.88,91,3
335,5452158,1658633033,duel,-3.035,57,75
335,5452158,1658633500,interception,-10.24,4,87
335,5452158,1658633524,touch,7.195,54,56
335,5452158,1658633066,duel,30.84,96,27
335,5452158,1658633080,touch,3.097,76,96
335,5452158,1658633108,touch,14.74,58,26
335,5452158,1658633592,touch,10.12,57,92
335,5452158,1658633600,duel,6.113,98,82
335,5452158,1658633622,touch,2.097,90,64
335,5452158,1658633194,touch,10.26,29,65
335,5452158,1658633203,touch,13.57,91,74
335,5452158,1658633688,acceleration,30.49,70,23
335,5452158,1658633716,touch,9.913,56,89
335,5452158,1658633729,acceleration,10.02,82,20
335,5452158,1658633257,duel,-15.9,9,12
335,5452158,1658633302,touch,-12.54,43,7
335,5452158,1658633788,touch,18.29,47,5
335,5452158,1658633795,duel,-1.238,58,32
335,5452158,1658633799,touch,3.414,86,35
335,5452158,1658633320,duel,8.639,36,78
335,5452158,1658633329,touch,5.29,64,23
335,5452158,1658633830,touch,28.78,43,83
335,5452158,1658633838,acceleration,29.77,93,68
335,5452158,1658633364,duel,-4.918,49,71
335,5452158,1658633366,touch,15.05,62,17
335,5452158,1658633368,duel,-7.894,68,11
335,5452158,1658633392,touch,16.45,55,70
335,5452158,1658633423,touch,9.489,44,56
335,5452158,1658633432,acceleration,20.28,79,61
335,5452158,1658633891,touch,9.852,52,5
335,5452158,1658633453,touch,-4.713,46,88
335,5452158,1658633460,touch,2.792,34,37
335,5452158,1658633944,duel,-5.598,38,97
335,5452158,1658633949,touch,26.45,80,65
335,5452158,1658633989,touch,3.732,79,85
335,5452158,1658633546,touch,7.684,55,37
335,5452158,1658633555,duel,16.31,47,55
335,5452158,1658634067,touch,12.02,57,30
335,5452158,1658633638,duel,-5.772,38,37
335,5452158,1658633645,touch,-2.613,33,27
335,5452158,1658633662,touch,12.95,56,12
335,5452158,1658633664,touch,18.43,62,55
335,5452158,1658633690,duel,2.456,71,33
335,5452158,1658634174,duel,-1.485,54,11
335,5452158,1658633720,interception,0.808,10,40
335,5452158,1658633745,acceleration,42.09,74,52
335,5452158,1658633762,touch,19.94,72,51
335,5452158,1658633783,duel,53.68,78,61
335,5452158,1658634262,touch,13.47,45,15
335,5452158,1658634340,touch,16.91,58,9
335,5452158,1658634353,touch,9.984,90,73
335,5452158,1658633916,touch,9.798,20,55
335,5452158,1658633918,touch,5.069,25,62
335,5452158,1658633923,touch,18.81,45,20
335,5452158,1658634393,duel,9.228,27,4
335,5452158,1658633933,duel,-6.404,50,98
335,5452158,1658634447,touch,11.22,78,86
335,5452158,1658634490,duel,-4.87,57,5
335,5452158,1658634024,duel,6.646,41,80
335,5452158,1658634052,acceleration,30.23,71,37
335,5452158,1658634575,touch,33.24,52,52
335,5452158,1658634579,touch,9.478,80,15
335,5452158,1658634071,duel,-1.99,58,61
335,5452158,1658634091,touch,13.92,41,69
335,5452158,1658634097,touch,12.71,64,95
335,5452158,1658634597,touch,23.39,96,33
335,5452158,1658634614,interception,31.77,32,46
335,5452158,1658634617,duel,1.471,27,35
335,5452158,1658634623,touch,10.63,36,43
335,5452158,1658634634,touch,0.253,73,52
335,5452158,1658634658,acceleration,22.9,68,16
335,5452158,1658634667,duel,7.399,72,9
335,5452158,1658634672,duel,-9.769,85,93
335,5452158,1658634233,pass,0.776,9,12
335,5452158,1658634683,touch,9.58,55,82
335,5452158,1658634688,duel,4.274,89,76
335,5452158,1658634693,duel,-3.961,84,89
335,5452158,1658634294,duel,-0.654,66,96
335,5452158,1658634713,duel,4.102,48,26
335,5452158,1658634716,touch,11.9,55,16
