COMPETITION_WYID,MATCH_WYID,TEAM_WYID,MATCHPERIOD,FORMATION,FORMATION_WYID,STARTSEC,ENDSEC,PLAYER_WYID,PLAYERPOSITION
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,599991,rw
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,56441,rcmf
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,707333,lb
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,247223,cf
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,56145,dmf
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,335381,rb
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,51144,lcmf
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,498845,lw
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,118386,lcb
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,50771,gk
335,5345401,7452,1H,4-1-4-1,4211828,0,4313,262121,rcb
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,118386,lcb
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,50771,gk
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,262121,rcb
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,599991,rw
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,56441,rcmf
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,707333,lb
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,92879,lcmf
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,247223,cf
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,56145,dmf
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,335381,rb
335,5345401,7452,2H,4-1-4-1,4212105,1363,1646,51144,lw
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,247223,cf
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,56145,rw
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,51144,lw
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,56625,rb
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,118386,lcb
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,50771,gk
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,262121,rcb
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,599991,rcmf
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,56441,lcmf
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,707333,lb
335,5345401,7452,2H,4-1-4-1,4212145,1646,2273,92879,dmf
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,50771,gk
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,262121,rcb
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,586625,rw
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,56441,lcmf
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,707333,lb
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,92879,dmf
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,247223,cf
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,562660,rcmf
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,51144,lw
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,56625,rb
335,5345401,7452,2H,4-1-4-1,4212228,2273,3041,118386,lcb
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,449089,amf
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,510447,ss
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,356393,rcmf3
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,363625,lb
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,513075,lcmf3
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,69374,dmf
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,169212,cf
335,5345401,7453,1H,4-3-1-2,4211812,0,2755,676912,rcb
