COMPETITION_WYID,SEASON_WYID,PLAYER_WYID,SHORTNAME,FIRSTNAME,MIDDLENAME,LASTNAME,HEIGHT,WEIGHT,BIRTHDATE,BIRTHAREA_WYID,PASSPORTAREA_WYID,ROLENAME,ROLECODE2,ROLECODE3,FOOT,CURRENTTEAM_WYID,CURRENTNATIONALTEAM_WYID,GENDER,STATUS,IMAGEDATAURL
335,187483,521237,J. Sidhu,Jagvir,,Singh Sidhu,185,70,2001-01-04,208,208,Midfielder,MD,MID,both,7490,,male,active,https://cdn5.wyscout.com/photos/players/public/g-59030_100x130.png
335,187483,521016,R. Østrøm,Robin,,Dahl Østrøm,188,80,2002-08-09,208,578,Defender,DF,DEF,right,7461,7342,male,active,https://cdn5.wyscout.com/photos/players/public/g-58968_100x130.png
335,187483,519629,F. Alves,Frederik ,,Alves Ibsen,195,78,1999-11-08,208,76,Defender,DF,DEF,right,7453,,male,active,https://cdn5.wyscout.com/photos/players/public/g-58808_100x130.png
335,187483,519618,M. Søndergaard,Mads,,Søndergaard Clausen,178,65,2002-12-26,208,208,Midfielder,MD,MID,right,7456,,male,active,https://cdn5.wyscout.com/photos/players/public/g-58797_100x130.png
335,187483,519576,C. Hauge,Christian,,Hauge,0,0,2002-09-01,208,208,Goalkeeper,GK,GKP,right,,,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png
335,187483,517648,O. Antman,Oliver,,Antman,185,75,2001-08-15,246,246,Forward,FW,FWD,right,34,4849,male,active,https://cdn5.wyscout.com/photos/players/public/g-58262_100x130.png
335,187483,515840,A. Francis,Abu,,Francis,182,72,2001-04-27,288,288,Midfielder,MD,MID,right,5070,17522,male,active,https://cdn5.wyscout.com/photos/players/public/g-57374_100x130.png
335,187483,514807,M. Kvistgaarden,Mathias,,Damm Kvistgaarden,175,68,2002-04-15,208,208,Forward,FW,FWD,right,7453,7719,male,active,https://cdn5.wyscout.com/photos/players/public/g-57262_100x130.png
335,187483,505392,M. Elvius,Marius,,Elvius Kolind-Jørgensen,185,78,2002-06-01,208,208,Defender,DF,DEF,right,7473,,male,active,https://cdn5.wyscout.com/photos/players/public/g-55453_100x130.png
335,187483,504117,J. Andersen,Jacob,,Andersen,186,78,2004-01-26,208,208,Defender,DF,DEF,right,7457,7714,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png
