SEASON_WYID,TEAM_WYID,MATCH_WYID,DATE,DATEUTC,STATUS,COMPETITION_WYID,ROUND_WYID,GAMEWEEK
188039,7453,5452166,2023-06-04 17:00:00.000,2023-06-04 15:00:00.000,Played,335,4428735,10
188039,7453,5452162,2023-05-29 18:00:00.000,2023-05-29 16:00:00.000,Played,335,4428735,9
188039,7453,5452158,2023-05-21 16:00:00.000,2023-05-21 14:00:00.000,Played,335,4428735,8
188039,7453,5452155,2023-05-14 16:00:00.000,2023-05-14 14:00:00.000,Played,335,4428735,7
188039,7453,5452152,2023-05-07 16:00:00.000,2023-05-07 14:00:00.000,Played,335,4428735,6
188039,7453,5452150,2023-04-30 16:00:00.000,2023-04-30 14:00:00.000,Played,335,4428735,5
188039,7453,5452147,2023-04-23 16:00:00.000,2023-04-23 14:00:00.000,Played,335,4428735,4
188039,7453,5452144,2023-04-16 18:00:00.000,2023-04-16 16:00:00.000,Played,335,4428735,3
188039,7453,5452142,2023-04-10 18:00:00.000,2023-04-10 16:00:00.000,Played,335,4428735,2
188039,7453,5452137,2023-04-02 16:00:00.000,2023-04-02 14:00:00.000,Played,335,4428735,1
188039,7453,5345510,2023-03-19 15:00:00.000,2023-03-19 14:00:00.000,Played,335,4426706,22
188039,7453,5345501,2023-03-12 18:00:00.000,2023-03-12 17:00:00.000,Played,335,4426706,21
188039,7453,5345498,2023-03-05 16:00:00.000,2023-03-05 15:00:00.000,Played,335,4426706,20
188039,7453,5345492,2023-02-27 19:00:00.000,2023-02-27 18:00:00.000,Played,335,4426706,19
188039,7453,5345483,2023-02-19 18:00:00.000,2023-02-19 17:00:00.000,Played,335,4426706,18
188039,7453,5345477,2022-11-13 16:00:00.000,2022-11-13 15:00:00.000,Played,335,4426706,17
188039,7453,5345475,2022-11-06 18:00:00.000,2022-11-06 17:00:00.000,Played,335,4426706,16
188039,7453,5345469,2022-10-30 18:00:00.000,2022-10-30 17:00:00.000,Played,335,4426706,15
188039,7453,5345459,2022-10-23 18:00:00.000,2022-10-23 16:00:00.000,Played,335,4426706,14
188039,7453,5345453,2022-10-16 14:00:00.000,2022-10-16 12:00:00.000,Played,335,4426706,13
188039,7453,5345451,2022-10-09 18:00:00.000,2022-10-09 16:00:00.000,Played,335,4426706,12
188039,7453,5345441,2022-10-02 16:00:00.000,2022-10-02 14:00:00.000,Played,335,4426706,11
188039,7453,5345438,2022-09-18 16:00:00.000,2022-09-18 14:00:00.000,Played,335,4426706,10
188039,7453,5345429,2022-09-11 16:00:00.000,2022-09-11 14:00:00.000,Played,335,4426706,9
188039,7453,5345427,2022-09-04 16:00:00.000,2022-09-04 14:00:00.000,Played,335,4426706,8
